Frequency,Magnitude,Study,Age
125,0.364829389,Keefe et al. (1993),12
157.49,0.526047471,Keefe et al. (1993),12
198.43,0.639838251,Keefe et al. (1993),12
250,0.730162452,Keefe et al. (1993),12
314.98,0.865380384,Keefe et al. (1993),12
396.85,1.128690308,Keefe et al. (1993),12
500,1.385082874,Keefe et al. (1993),12
629.96,1.63517775,Keefe et al. (1993),12
793.7,1.956861033,Keefe et al. (1993),12
1000,2.435554902,Keefe et al. (1993),12
1259.92,3.088564371,Keefe et al. (1993),12
1587.4,3.982015373,Keefe et al. (1993),12
2000,4.791528062,Keefe et al. (1993),12
2519.84,4.588360759,Keefe et al. (1993),12
3174.8,6.850690246,Keefe et al. (1993),12
4000,8.720616691,Keefe et al. (1993),12
5039.68,8.739430229,Keefe et al. (1993),12
6349.6,11.0709242,Keefe et al. (1993),12
8000,8.457404377,Keefe et al. (1993),12
10079.37,6.335494488,Keefe et al. (1993),12
125,0.344381107,Keefe et al. (1993),24
157.49,0.523827392,Keefe et al. (1993),24
198.43,0.6450436,Keefe et al. (1993),24
250,0.728201843,Keefe et al. (1993),24
314.98,0.866362816,Keefe et al. (1993),24
396.85,1.138162563,Keefe et al. (1993),24
500,1.418356753,Keefe et al. (1993),24
629.96,1.75990416,Keefe et al. (1993),24
793.7,2.229223468,Keefe et al. (1993),24
1000,2.856293128,Keefe et al. (1993),24
1259.92,3.890445747,Keefe et al. (1993),24
1587.4,5.315016289,Keefe et al. (1993),24
2000,5.672152636,Keefe et al. (1993),24
2519.84,6.44917166,Keefe et al. (1993),24
3174.8,11.35679693,Keefe et al. (1993),24
4000,9.154607147,Keefe et al. (1993),24
5039.68,9.552793533,Keefe et al. (1993),24
6349.6,10.39449488,Keefe et al. (1993),24
8000,9.236358088,Keefe et al. (1993),24
10079.37,7.487302754,Keefe et al. (1993),24